Grouped,Currency,Business day,Invoice ID,Ledger,Date started,Date closed,Currency,Subtotal,Discount amount,Surcharge amount,Payment surcharge,"Net AmountVAT 9%","Tax AmountVAT 9%","Total incl.VAT 9%","Net AmountVAT 21%","Tax AmountVAT 21%","Total incl.VAT 21%","Net AmountVAT 0%","Total Revenueexcl. VAT","Total Revenueincl. VAT",Gift card sales,Tips amount,Quantity of products,Table,Customer,Staff name,Receipt
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T08:14:06Z|INVOICE|2845868162|2,788865,"01/05/26, 10:14","01/05/26, 10:15",EUR,19,0,0,0,0,0,0,15.702479,3.297521,19,0,15.702479,19,0,0,1,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/jAtsNH6mlMAGjjcQ_044cTiIrzTXOe0idCxN4LZkY8dko_f6AbDaXLgbeEdjL8srDSGZPzDy2-LYORNmwBCgLvkYVfs-NEF0fZTY2QzszW5UqvC6LlQoAg52577hN3d5jysgx403LITVTKN5GxtmPaWdWajRuurmbjsU1UQJPFn4gxl_85Hu8KvWnBr0eQCivDz0kofAcGhAaPHiRlMnScGGK7CRkw32N2fu53K9WXhxgIAEfIPkSNSxRfcVx8X-2Rvph9qE7Ub276wt34TiOBOWqiq8Rctrp6SZWOT0Z70NDS0ujjCmAhBCJeHr_4W8P3Pnlr0AP-29T-3aaBlmzA==
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T08:15:45Z|INVOICE|2845868162|44,788865,"01/05/26, 10:15","01/05/26, 10:32",EUR,9,0,0,0,8.256881,0.743119,9,0,0,0,0,8.256881,9,0,0,1,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/fR2A5KzcEGSYOMC92pEGtIVHrm5tb_eHF1zHr9E1xxftPh_HFhlOt93GouQYldBC1VA8tFa8n_fWrobDoyeKeDX_8n_A2aLyVkrG-avnImdpGCUUKeddCXxcSXRISeMCB7-W64v8N6SaOjYv9JtXVZlhbPGf87NTsH87ZDsyVvQ8IPieiEhbDUumWGmeQQcO0wE8mk9RZEwOAkRqFhV8WKzofi-dq8XGTr2BjUqE8XCKhnuID9hTzY7CsPqJls5MdpnPaXf4y__S7izJkAhL7xhQwS0JkGWq7W2iMTvYWrR1SAb4mmngoqIuRes6HvbC2v4xQldEsoAG-NYkUCYigw==
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T08:32:32Z|INVOICE|2845868162|59,788865,"01/05/26, 10:32","01/05/26, 10:57",EUR,12.6,0,0,0,11.559633,1.040367,12.6,0,0,0,0,11.559633,12.6,0,0,2,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/bPqJsoJ-GCDpag_845AzE1zAJDmZPq3xIniQckNhyGBgNpJHxMkFx1UMekHBWYMnSsp_U3ogcxPgLHXwIvrpy0OQ4nIXnFYG_zzxtznvNpt0i_fDqx49uTwv54syL4bTR2sFg1bXsMfdzrk7ibUeJAlJZdwyKpRKQ0c_bY90kr77zx24d_U--Va1Q8vZ3GwCtEwJeHB9nTTKFT3H57ckpJ47JaNFZWNMjV74BKycUTvRrO614MWSmjqG_Di_Nu5SZge_TCOXdYO26iIpO-f76fHCgjYObnJ7pF3RWTCcLRvNECotUJQn8w6xXMp6tSG8so1yXP41AdwCFQoPyn_Wrw==
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T08:57:50Z|INVOICE|2845868162|80,788865,"01/05/26, 10:57","01/05/26, 11:12",EUR,12.2,0,0,0,11.192661,1.007339,12.2,0,0,0,0,11.192661,12.2,0,0,2,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/dnauwiEoTa0aB2VQ-6itnuQ_yWaCvSRI1gTK0r0CIYnbYaOT54RkAmvC2lyDvQIjLNzyP3QNNfqmFIK14fvuh6BXORg87wsXOekp-1NnFJbGQNoDz_vD335H6hO7LT75opv4ZjlCfDpWjecpTel4y_5LeUoSQmYDMwql3naf9xsYPMVqL5wWpggmhS0Xo8qOCboe8XZU_FYd3CANEGIqFur1QeuuOOJ0EHdFxhVig0w1Z6a5OmIFl6JSDQpSBvV6aA333gdZZLo43YzwcqpRSuOGikkFLhMVRB2-EisvSfenxvGeRRDTYPbKQ-KvbBBtuCbGCgB9Qbucblfv0meDgw==
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T09:12:39Z|INVOICE|2845868162|102,788865,"01/05/26, 11:12","01/05/26, 12:13",EUR,11,0,0,0,10.091743,0.908257,11,0,0,0,0,10.091743,11,0,0,1,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/nBu_yLiFPJONHJlZ0aTGHE5mYBMQzgzC2uvP7roMYxIInDTlM3dd50j57iHU0TMQz7cjxHhe9TNy1HCzlFl3h3reiDSFyqCHE8lL0T75y_XDs-HXwlI6a-HsK2PG8B2va2XJreCgklvAKSDauWGnd7uq_y6aWmv5AYxpobwNdLG2-T6-eomOA0yshad4aeqH_Y3eAlX_xJFh8zecU4vWuRvKPmKFI4JDml7Zxx8I7iDsXSMurQ5GIYsdbr8wVQVSGnePchhdTCX0kZDMlq2fuOaArzRbVyphojWpHrLap7Ldgbei3kObCaEXJqhoNohT19S5pleUlopoHY1qkN5PmQ==
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T10:13:02Z|INVOICE|2845868162|124,788865,"01/05/26, 12:13","01/05/26, 12:44",EUR,9,0,0,0,8.25688,0.74312,9,0,0,0,0,8.25688,9,0,0,2,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/cy3CUKcnV84chKn6xyaDKlZnK7_iJymMAsjSM44JlvsAuZ09JGQhTcJ6r52XBKjttfGir4VkiHZkr_vYTuNv50zp6bVQaJ2gxRIZmyV4OWlYxWEgZVcSSdoXbzmluRN32NWUy0R-SnhAUu6P-Ld2VxAjRw3LPYQM0IxBLgAURbjo7tDLmywBm3Yzt2GyLWrS0-oVLUNwb5V8s9IS83RcImGoxyNgCI1S8TXIkrgtjKVkoz8sTf14Z7t-U1vIX6Q9puBrLQfwMAS7zGY1DQF5DmMr6uM2EjaVAl-DGWabIh6FJOOhmkQ24DGCT7UuLb9PnMBGtqW-Xch5a-m8lqROOw==
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T10:44:45Z|INVOICE|2845868162|140,788865,"01/05/26, 12:44","01/05/26, 14:34",EUR,6.75,0,0,0,0,0,0,5.578512,1.171488,6.75,0,5.578512,6.75,0,0,1,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/nJPesQ_IICwKQum7f9xAxiNFs18Q4CVHKGL_6ikxkAYNmG7-bWhRfzx0dY3zVGcxJatHMcy-1du5hzoZehRusgG97UlAK4jwcPc7ZS2fPujL87axH6nOJbM2bDyIDcDvEOSTlfkhAmiwx6htLhbskqtNOIYBxMoBdjAkCjyU6EgjpIV8SE_sVoJsQR_sJIVXwLzR-H2WNg72lbjL6EptoF5rXLjfgFXbxk2tmfJ17m0hDZBuByas55_BxLttl7yvlFCcAiVBueK6owg-Op2eFew-QOa58IYUMPaWm5tPGPoEx79rO4fxmNjuQk4iCZN8E_aH4UKNCybxl6mlaHLmbQ==
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T12:34:11Z|INVOICE|2845868162|156,788865,"01/05/26, 14:34","01/05/26, 14:39",EUR,15,0,0,0,13.761468,1.238532,15,0,0,0,0,13.761468,15,0,0,1,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/AyDBz3rNBwoSYij9rJrza-i6rnrtxvnPC13ZczTaqsf1GqYxS0g6DajOJA8aCh-N7-oPPMXi-U6BZxL46fdjufxKoycJw8yrDpPqzLcAE4bnir2vsWmjPUVuaOvCknpCK6PkA3wuhrpkweMFTEPUdF-iRA03QwU7GXElwSOFo-AfKDZRvAYWqxT5kSzXt1k1nhBWYTooNNWQgSE9p3Z07cI4TG397sWR1iZPPuX8p1upuZ8765647Tu_7YeZhcKWA1J2-hgCgCvqy2lUNu2kO5QUm6DPmqiuxSOboX9-FJSX1DGBfChkrAGbbp5-EDWHS5v-zA8BG6PFZyYBeEqaIw==
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T12:39:48Z|INVOICE|2845868162|170,788865,"01/05/26, 14:39","01/05/26, 14:51",EUR,16.2,0,0,0,14.862386,1.337614,16.2,0,0,0,0,14.862386,16.2,0,0,4,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/WqyfbLdPJH4b8mZhYsVhwK8MlT-mX5xKqahcazHfp3Vc4tPIT4HY-RPxlrselHjTKoxRca27hny5GqXPb9y0wMoQO3Y19VK1nl1Yd1UqkReASmm4yPiFIiIaSZympQLRvj78FFa6R9RCB60TMw4jP1U-QJhEUsaExd801Al6dLpm8EH6QOfKFUiMTAZyPLgAbBZn5sdw6cjV5KLgX31vH13CupulHt-2aXYFhcf0r_2Q6JJl5Aff67Pof6DDt-8RA62HUF92xEDcnkvTfrZEiuQHnkTI_UBauZW-mcnWsyS8CYoGE7P3il_ZEn1IpIJiWCxcb_P7lJHf1yJcCqXDlA==
2026-05-01 | Iuliia Nikitina,EUR,2026-05-01 | Iuliia Nikitina,788865|2026-05-01T12:51:45Z|INVOICE|2845868162|185,788865,"01/05/26, 14:51","01/05/26, 16:26",EUR,42,0,0,0,38.53211,3.46789,42,0,0,0,0,38.53211,42,0,0,1,,,Iuliia Nikitina,https://live.tebi.co/documents/receipts/nE7q_-ha1ZPbAiItbPoFsas7PQGOKaeIoJTra36QFjbTtLuHtjNWXuNKpbUcZfKYrcH5AHuYREKdImkwa7NmKuOmR-Dh93PGdfcLBUK_Vce-vQJyPd_Oa5CqCSUgzbQ7q48W8WtDU2wTqwohSc0VeOGaCJcNL7P0B0AlHhEsbbE7GVIEJG7wmp0cqRp6eXVRIHx9_khFWc7-eY-l6tuh5d6mrRRNyTMNTqCxIsXBNhlfncM8BbzYIcJxzYErCkjVALxAZWV8SptwUhG5VA0ka--auzpkm7LvaGkyoZ4IOa_BQ1wbDm-4d02JoaxkiiKbsreRw5dap4gjQI2gscLFMw==
